Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
2/1/21,Queens,Elevator,EL437,4,2,2,1,81,0.980059524,109.7666667,112,0.964285714,108,112,0.963988095,647.8,672,FORESTHILLS-71AV-QBL-E/F/M/R,261,Forest Hills-71 Av - Station,261
2/1/21,Manhattan,Elevator,EL226,2,2,0,0,224,1,112,112,1,112,112,0.984573413,661.6333333,672,34ST-PENNSTATION-8AV-A/C/E,164,34 St-Penn Station - Station,164
2/1/21,Manhattan,Elevator,EL144,3,1,2,0,182,0.988839286,110.75,112,0.993005952,111.2166667,112,0.977207341,656.6833333,672,125ST-8AV-A/B/C/D,153,125 St - Station,153
2/1/21,Bronx,Elevator,EL193,4,2,2,0,166,0.930505952,104.2166667,112,0.928571429,104,112,0.915401786,615.15,672,233ST-LWP-2/5,418,233 St - Station,418
2/1/21,Bronx,Elevator,EL185,4,2,2,1,170,0.959821429,107.5,112,0.939434524,105.2166667,112,0.924503968,621.2666667,672,231ST-BWY7-1,295,231 St - Station,295
2/1/21,Brooklyn,Elevator,EL339,0,0,0,0,256,,0,0,,0,0,,0,0,FRANKLINAV-FRK-S,139,"Franklin Av (C,S)",627
2/1/21,Manhattan,Elevator,EL231X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,TIMESSQ-42ST-7AV-1/2/3,317,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
2/1/21,Brooklyn,Elevator,EL740,2,2,0,0,19,1,112,112,1,112,112,0.986011905,662.6,672,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
2/1/21,Bronx,Elevator,EL135,3,2,1,1,226,0.962053571,107.75,112,1,112,112,0.970039683,651.8666667,672,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
2/1/21,Bronx,Elevator,EL160,3,1,2,0,104,0.964285714,108,112,0.928571429,104,112,0.932986111,626.9666667,672,E180ST-LWP-2/5,426,E 180 St - Station,426
2/1/21,Brooklyn,Elevator,EL739,3,1,2,0,19,0.973214286,109,112,0.964285714,108,112,0.959176587,644.5666667,672,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
2/1/21,Brooklyn,Elevator,EL382,1,1,0,0,213,0.999255952,111.9166667,112,1,112,112,0.993923611,667.9166667,672,PROSPECTPARK-BWY-B/Q/S,42,Prospect Park - Station,42
2/1/21,Queens,Elevator,EL467,1,1,0,0,7,1,112,112,1,112,112,0.989980159,665.2666667,672,ASTORIABLVD-AST-N/Q,2,Astoria Blvd - Station,2
2/1/21,Brooklyn,Elevator,EL738,2,2,0,0,19,1,112,112,1,112,112,0.984821429,661.8,672,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
2/1/21,Manhattan,Elevator,EL276X,0,0,0,0,N/A,0.976190476,109.3333333,112,0.964285714,108,112,0.971329365,652.7333333,672,59ST-COLUMBUSCIRCLE-8AV-A/B/C/D,161,"59 St-Columbus Circle (A,B,C,D,1)",614
2/1/21,Brooklyn,Elevator,EL389,1,1,0,0,4,1,112,112,1,112,112,0.992113095,666.7,672,59ST-4AV-N/R,35,59 St - Station,35
2/1/21,Queens,Elevator,EL462,5,3,2,0,37,0.9375,105,112,0.917113095,102.7166667,112,0.918948413,617.5333333,672,OZONEPARK-LEFFERTSBLVD-LIB-A,195,Ozone Park-Lefferts Blvd - Station,195
2/1/21,Queens,Elevator,EL423,7,5,2,0,181,0.810267857,90.75,112,0.792559524,88.76666667,112,0.795064484,534.2833333,672,74ST-BROADWAY-FLS-7,454,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
2/1/21,Manhattan,Elevator,EL335,5,0,5,2,190,0.178571429,20,112,0.095833333,10.73333333,112,0.136929563,92.01666667,672,W4ST-WASHSQ-8AV-A/B/C/D/E/F/M,167,W 4 St-Wash Sq - Station,167
2/1/21,Queens,Elevator,EL445X,0,0,0,0,N/A,0.956994048,107.1833333,112,0.964285714,108,112,0.959275794,644.6333333,672,COURTSQ-FLS-7,462,"Court Sq (E,G,M,7)",606
2/1/21,Manhattan,Elevator,EL116,0,0,0,0,193,,0,0,,0,0,,0,0,190ST-8AV-A,145,190 St - Station,145
2/1/21,Manhattan,Elevator,EL13X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,CORTLANDTST-7AV-1,328,Cortlandt St - Station,328
2/1/21,Manhattan,Elevator,EL279X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,28ST-LEX-6,404,28 St - Station,404
2/1/21,Manhattan,Elevator,EL123,4,2,2,0,375,0.940625,105.35,112,0.964285714,108,112,0.951264881,639.25,672,175ST-8AV-A,147,175 St - Station,147
2/1/21,Brooklyn,Elevator,EL371,1,1,0,0,189,1,112,112,1,112,112,0.991170635,666.0666667,672,DEKALBAV-4AV-B/Q/R,26,DeKalb Av - Station,26
2/1/21,Brooklyn,Elevator,EL344,4,3,1,0,81,1,112,112,0.964285714,108,112,0.96344246,647.4333333,672,UTICAAV-8AV-A/C,181,Utica Av - Station,181
2/1/21,Manhattan,Elevator,EL218,2,2,0,0,249,1,112,112,1,112,112,0.988417659,664.2166667,672,14ST-UNIONSQ-CNR-L,117,"14 St-Union Sq (L,N,Q,R,4,5,6)",602
2/1/21,Manhattan,Elevator,EL442,7,3,4,3,50,0.880357143,98.6,112,0.805654762,90.23333333,112,0.855183532,574.6833333,672,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
2/1/21,Manhattan,Elevator,EL266,3,1,2,0,49,0.982142857,110,112,0.964285714,108,112,0.961111111,645.8666667,672,72ST-2AV-Q,477,72 St - Station,477
2/1/21,Queens,Elevator,EL430,2,2,0,0,180,1,112,112,1,112,112,0.986235119,662.75,672,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
2/1/21,Manhattan,Elevator,EL233,5,2,3,0,175,0.975446429,109.25,112,0.928571429,104,112,0.932217262,626.45,672,TIMESSQ-42ST-7AV-1/2/3,317,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
2/1/21,Manhattan,Elevator,EL216,2,2,0,0,208,1,112,112,1,112,112,0.983928571,661.2,672,34ST-PENNSTATION-7AV-1/2/3,318,34 St-Penn Station - Station,318
2/1/21,Brooklyn,Elevator,EL322,5,2,3,1,194,0.909077381,101.8166667,112,0.928571429,104,112,0.902008929,606.15,672,CROWNHTS-UTICAAV-EPK-3/4,345,Crown Hts-Utica Av - Station,345
2/1/21,Brooklyn,Elevator,EL305,1,1,0,0,202,1,112,112,1,112,112,0.991071429,666,672,ATLANTICAV-BARCLAYSCTR-EPK-2/3/4/5,338,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
2/1/21,Brooklyn,Elevator,EL391,5,1,4,2,196,0.95922619,107.4333333,112,0.928571429,104,112,0.935615079,628.7333333,672,MARCYAV-JAM-J/M/Z,101,Marcy Av - Station,101
2/1/21,Bronx,Elevator,EL132,3,1,2,0,226,0.928571429,104,112,0.936904762,104.9333333,112,0.920709325,618.7166667,672,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
2/1/21,Brooklyn,Elevator,EL308,3,3,0,0,237,1,112,112,1,112,112,0.986235119,662.75,672,COURTST-BWY-R,24,"Court St (R)/Borough Hall (2,3,4,5)",620
2/1/21,Manhattan,Elevator,EL441,2,1,1,0,50,0.999255952,111.9166667,112,1,112,112,0.989880952,665.2,672,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
2/1/21,Brooklyn,Elevator,EL312,4,2,2,0,246,0.928571429,104,112,0.958630952,107.3666667,112,0.920337302,618.4666667,672,CLARKST-CLK-2/3,334,Clark St - Station,334
2/1/21,Bronx,Elevator,EL137,5,2,3,1,159,0.979166667,109.6666667,112,0.954464286,106.9,112,0.947544643,636.75,672,PELHAMPKWY-LWP-2/5,424,Pelham Pkwy - Station,424
2/1/21,Manhattan,Elevator,EL298,2,1,1,0,50,0.985119048,110.3333333,112,0.964285714,108,112,0.960193452,645.25,672,23ST-LEX-6,405,23 St - Station,405
2/1/21,Manhattan,Elevator,EL717X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
2/1/21,Manhattan,Elevator,EL603,2,1,1,0,65,0.980357143,109.8,112,0.964285714,108,112,0.961631944,646.2166667,672,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
2/1/21,Manhattan,Elevator,EL215,2,2,0,0,254,1,112,112,1,112,112,0.983804563,661.1166667,672,34ST-PENNSTATION-7AV-1/2/3,318,34 St-Penn Station - Station,318
2/1/21,Bronx,Elevator,EL133,1,1,0,0,226,0.998511905,111.8333333,112,1,112,112,0.990649802,665.7166667,672,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
2/1/21,Brooklyn,Elevator,EL372,2,1,1,0,189,0.989583333,110.8333333,112,1,112,112,0.989831349,665.1666667,672,DEKALBAV-4AV-B/Q/R,26,DeKalb Av - Station,26
2/1/21,Brooklyn,Elevator,EL341,2,2,0,0,181,0.996130952,111.5666667,112,1,112,112,0.989087302,664.6666667,672,EUCLIDAV-8AV-A/C,188,Euclid Av - Station,188
2/1/21,Manhattan,Elevator,EL145,3,2,1,0,123,1,112,112,0.991517857,111.05,112,0.973784722,654.3833333,672,96ST-BWY7-1/2/3,310,96 St - Station,310
2/1/21,Manhattan,Elevator,EL17X,0,0,0,0,N/A,0.428571429,48,112,0.428571429,48,112,0.431845238,290.2,672,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
2/1/21,Manhattan,Elevator,EL106,4,4,0,0,3,0.99985119,111.9833333,112,0.99985119,111.9833333,112,0.975099206,655.2666667,672,191ST-BWY7-1,300,191 St - Station,300
2/1/21,Manhattan,Elevator,EL711,5,3,2,0,163,0.985863095,110.4166667,112,0.976190476,109.3333333,112,0.980952381,659.2,672,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
2/1/21,Manhattan,Elevator,EL404,5,2,3,2,375,0.913690476,102.3333333,112,0.917410714,102.75,112,0.911433532,612.4833333,672,ROOSEVELTISLAND-63S-F,222,Roosevelt Island - Station,222
2/1/21,Manhattan,Elevator,EL600,3,1,2,0,65,0.99077381,110.9666667,112,1,112,112,0.986929563,663.2166667,672,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
2/1/21,Bronx,Elevator,EL192,5,2,3,0,166,0.861160714,96.45,112,0.964285714,108,112,0.909027778,610.8666667,672,233ST-LWP-2/5,418,233 St - Station,418
2/1/21,Brooklyn,Elevator,EL763,4,1,3,0,3,0.954761905,106.9333333,112,0.964285714,108,112,0.949255952,637.9,672,GREENPOINTAV-XTN-G,283,Greenpoint Av - Station,283
2/1/21,Queens,Elevator,EL435,6,4,2,0,151,0.989732143,110.85,112,0.991071429,111,112,0.969866071,651.75,672,KEWGARDENS-UNIONTPKE-QBL-E/F,259,Kew Gardens-Union Tpke - Station,259
2/1/21,Brooklyn,Elevator,EL376,6,3,3,0,103,0.982291667,110.0166667,112,0.957738095,107.2666667,112,0.972792659,653.7166667,672,BAYPKWY-WST-D,68,Bay Pkwy - Station,68
2/1/21,Brooklyn,Elevator,EL746,2,1,1,0,7,0.989583333,110.8333333,112,0.973958333,109.0833333,112,0.987078373,663.3166667,672,86ST-4AV-R,38,86 St - Station,38
2/1/21,Manhattan,Elevator,EL232,4,3,1,1,175,1,112,112,1,112,112,0.974776786,655.05,672,TIMESSQ-42ST-7AV-1/2/3,317,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
2/1/21,Queens,Elevator,EL426,4,3,1,0,168,0.999255952,111.9166667,112,0.964285714,108,112,0.959449405,644.75,672,JUNCTIONBLVD-FLS-7,451,Junction Blvd - Station,451
2/1/21,Manhattan,Elevator,EL105,2,2,0,0,3,1,112,112,1,112,112,0.981522817,659.5833333,672,191ST-BWY7-1,300,191 St - Station,300
2/1/21,Manhattan,Elevator,EL104,2,2,0,0,3,1,112,112,1,112,112,0.981845238,659.8,672,191ST-BWY7-1,300,191 St - Station,300
2/1/21,Queens,Elevator,EL482X,0,0,0,0,N/A,1,16,16,1,16,16,1,96,96,COURTSQ-23ST-QBL-E/M,274,"Court Sq (E,G,M,7)",606
2/1/21,Brooklyn,Elevator,EL346,2,2,0,0,81,1,112,112,1,112,112,0.984548611,661.6166667,672,UTICAAV-8AV-A/C,181,Utica Av - Station,181
2/1/21,Manhattan,Elevator,EL608X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,GRANDCENTRAL-42ST-LEX-S,469,"Grand Central-42 St (S,4,5,6,7)",610
2/1/21,Queens,Elevator,EL429,2,2,0,0,180,1,112,112,1,112,112,0.985689484,662.3833333,672,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
